com.samsung.shealth.step_daily_trend,6307003,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
6222a138-b1ff-49d2-9fff-400088480ecc.binning_data.json,2024-06-02 17:50:15.533,2024-06-02 17:50:15.533,com.sec.android.app.shealth,0,3726,1.4116693,2728.1199,114.46,XLy3VBYEN4,com.sec.android.app.shealth,6222a138-b1ff-49d2-9fff-400088480ecc,1699920000000,
76a3124b-fb9d-4e2d-975f-bfd5155804c0.binning_data.json,2024-06-02 17:50:15.535,2024-06-02 17:50:15.535,com.sec.android.app.shealth,0,4645,1.4256581,3415.92,143.68999,XLy3VBYEN4,com.sec.android.app.shealth,76a3124b-fb9d-4e2d-975f-bfd5155804c0,1700697600000,
b25c3029-58da-422b-bb45-546a862cf80b.binning_data.json,2024-06-02 17:50:15.534,2024-06-02 17:50:15.534,com.sec.android.app.shealth,0,1256,1.6416073,1009.97003,40.079994,XLy3VBYEN4,com.sec.android.app.shealth,b25c3029-58da-422b-bb45-546a862cf80b,1700438400000,
b1a4ef60-4752-4575-b939-5b3bf14bd948.binning_data.json,2024-06-02 17:50:15.535,2024-06-02 17:50:15.535,com.sec.android.app.shealth,0,3074,1.4269804,2257.31,95.27,XLy3VBYEN4,com.sec.android.app.shealth,b1a4ef60-4752-4575-b939-5b3bf14bd948,1700784000000,
e60c03ed-450d-4427-933b-09b43650e52b.binning_data.json,2024-06-02 17:50:15.533,2024-06-02 17:50:15.533,com.sec.android.app.shealth,0,3897,1.6278983,3132.99,127.18999,XLy3VBYEN4,com.sec.android.app.shealth,e60c03ed-450d-4427-933b-09b43650e52b,1700092800000,
18619ee3-4cb0-4a4c-87d8-beef44afe141.binning_data.json,2024-06-02 17:50:15.532,2024-06-02 17:50:15.532,com.sec.android.app.shealth,0,8120,1.4198191,5968.62,255.19998,XLy3VBYEN4,com.sec.android.app.shealth,18619ee3-4cb0-4a4c-87d8-beef44afe141,1699833600000,
9f8dc64e-fc36-4d0e-84d4-1e37cca036ea.binning_data.json,2024-06-02 17:50:15.534,2024-06-02 17:50:15.534,com.sec.android.app.shealth,0,6352,1.595229,5090.82,205.97998,XLy3VBYEN4,com.sec.android.app.shealth,9f8dc64e-fc36-4d0e-84d4-1e37cca036ea,1700352000000,
dd66a1e4-f035-48e7-954f-30257337d257.binning_data.json,2024-06-02 17:50:15.537,2024-06-02 17:50:15.537,com.sec.android.app.shealth,0,2457,1.5039656,1931.82,77.27,XLy3VBYEN4,com.sec.android.app.shealth,dd66a1e4-f035-48e7-954f-30257337d257,1701388800000,
6608dcfd-c040-47b5-911b-7e4782320d98.binning_data.json,2024-06-02 17:50:15.538,2024-06-02 17:50:15.538,com.sec.android.app.shealth,0,2404,1.5437512,1889.42,75.149994,XLy3VBYEN4,com.sec.android.app.shealth,6608dcfd-c040-47b5-911b-7e4782320d98,1701820800000,
6ba3db85-6cb3-4669-9c6a-54e4714078ca.binning_data.json,2024-06-02 17:50:15.536,2024-06-02 17:50:15.536,com.sec.android.app.shealth,0,2882,1.468433,2146.71,90.7,XLy3VBYEN4,com.sec.android.app.shealth,6ba3db85-6cb3-4669-9c6a-54e4714078ca,1700956800000,
0cb734e9-e1ab-4ea7-abfb-0f6dca174677.binning_data.json,2024-06-02 17:50:15.537,2024-06-02 17:50:15.537,com.sec.android.app.shealth,0,9544,1.7444369,7841.91,325.28,XLy3VBYEN4,com.sec.android.app.shealth,0cb734e9-e1ab-4ea7-abfb-0f6dca174677,1701561600000,
9dcc228d-ab71-4c94-98dc-32b4d74bc8d7.binning_data.json,2024-06-02 17:50:15.536,2024-06-02 17:50:15.536,com.sec.android.app.shealth,0,6846,1.4829876,5347.99,213.77997,XLy3VBYEN4,com.sec.android.app.shealth,9dcc228d-ab71-4c94-98dc-32b4d74bc8d7,1701302400000,
7e9d61fc-0193-41df-81f7-39ae749bec45.binning_data.json,2024-06-02 17:50:15.535,2024-06-02 17:50:15.535,com.sec.android.app.shealth,0,8842,1.4515225,6518.31,269.53998,XLy3VBYEN4,com.sec.android.app.shealth,7e9d61fc-0193-41df-81f7-39ae749bec45,1700611200000,
5081deec-7c41-4ea8-89cd-eb468c2ea2ce.binning_data.json,2024-06-02 17:50:15.536,2024-06-02 17:50:15.536,com.sec.android.app.shealth,0,5128,1.4738657,3831.84,159.29,XLy3VBYEN4,com.sec.android.app.shealth,5081deec-7c41-4ea8-89cd-eb468c2ea2ce,1701129600000,
9fd87a29-734d-4d84-83f2-489dd63490df.binning_data.json,2024-06-02 17:50:15.538,2024-06-02 17:50:15.538,com.sec.android.app.shealth,0,9054,1.4304969,6809.3,278.71997,XLy3VBYEN4,com.sec.android.app.shealth,9fd87a29-734d-4d84-83f2-489dd63490df,1701907200000,
f86ea4b6-1837-4dc9-af9f-d0d62497c991.binning_data.json,2024-06-02 17:50:15.536,2024-06-02 17:50:15.536,com.sec.android.app.shealth,0,613,1.4429325,454.18,18.739998,XLy3VBYEN4,com.sec.android.app.shealth,f86ea4b6-1837-4dc9-af9f-d0d62497c991,1701043200000,
c1530175-bae2-4784-9ee1-415a13529854.binning_data.json,2024-06-02 17:50:15.539,2024-06-02 17:50:15.539,com.sec.android.app.shealth,0,4026,1.6868019,3232.06,149.98,XLy3VBYEN4,com.sec.android.app.shealth,c1530175-bae2-4784-9ee1-415a13529854,1702252800000,
e8c21c04-0197-4967-9d9b-4b6b6c4f9cde.binning_data.json,2024-06-02 17:50:15.537,2024-06-02 17:50:15.537,com.sec.android.app.shealth,0,7603,1.4253448,5867.5,234.12997,XLy3VBYEN4,com.sec.android.app.shealth,e8c21c04-0197-4967-9d9b-4b6b6c4f9cde,1701648000000,
9f3a8325-fd4d-4e0a-9686-b0436c72b0e7.binning_data.json,2024-06-02 17:50:15.539,2024-06-02 17:50:15.539,com.sec.android.app.shealth,0,8900,1.6501653,6831.91,289.44998,XLy3VBYEN4,com.sec.android.app.shealth,9f3a8325-fd4d-4e0a-9686-b0436c72b0e7,1702425600000,
acdbcb4f-9a1a-4401-bb4c-0bc783783451.binning_data.json,2024-06-02 17:50:15.538,2024-06-02 17:50:15.538,com.sec.android.app.shealth,0,6984,1.5416262,5272.2,226.13998,XLy3VBYEN4,com.sec.android.app.shealth,acdbcb4f-9a1a-4401-bb4c-0bc783783451,1701993600000,
994b8cca-4990-4ea4-ac17-1a642775cfd8.binning_data.json,2024-06-02 17:50:15.540,2024-06-02 17:50:15.540,com.sec.android.app.shealth,0,3283,1.6194917,2616.8298,104.619995,XLy3VBYEN4,com.sec.android.app.shealth,994b8cca-4990-4ea4-ac17-1a642775cfd8,1702944000000,
14bfb134-1308-43ff-88cd-d0b69dd091cd.binning_data.json,2024-06-02 17:50:15.537,2024-06-02 17:50:15.537,com.sec.android.app.shealth,0,9560,1.7863389,8059.55,355.74997,XLy3VBYEN4,com.sec.android.app.shealth,14bfb134-1308-43ff-88cd-d0b69dd091cd,1701475200000,
f898e0e2-9512-47cb-a930-64c3d01133e8.binning_data.json,2024-06-02 17:50:15.540,2024-06-02 17:50:15.540,com.sec.android.app.shealth,0,16403,1.565785,12664.75,568.75995,XLy3VBYEN4,com.sec.android.app.shealth,f898e0e2-9512-47cb-a930-64c3d01133e8,1702598400000,
db702ea0-fa44-49d3-97c0-b538624213dc.binning_data.json,2024-06-02 17:50:15.536,2024-06-02 17:50:15.536,com.sec.android.app.shealth,0,2890,1.6396801,2339.37,96.03999,XLy3VBYEN4,com.sec.android.app.shealth,db702ea0-fa44-49d3-97c0-b538624213dc,1701216000000,
1da31342-fdbb-44d1-9f9d-bbace98da7a8.binning_data.json,2024-06-02 17:50:15.538,2024-06-02 17:50:15.538,com.sec.android.app.shealth,0,8905,1.5357007,6771.0,294.03998,XLy3VBYEN4,com.sec.android.app.shealth,1da31342-fdbb-44d1-9f9d-bbace98da7a8,1702166400000,
b627017b-8498-49b1-85ee-567a6bea8f95.binning_data.json,2024-06-02 17:50:15.538,2024-06-02 17:50:15.538,com.sec.android.app.shealth,0,14852,1.5285077,11159.95,473.85995,XLy3VBYEN4,com.sec.android.app.shealth,b627017b-8498-49b1-85ee-567a6bea8f95,1702080000000,
d7c9e034-f351-4f5b-b14a-38207427e792.binning_data.json,2024-06-02 17:50:15.540,2024-06-02 17:50:15.540,com.sec.android.app.shealth,0,9439,1.6243176,7461.89,339.94,XLy3VBYEN4,com.sec.android.app.shealth,d7c9e034-f351-4f5b-b14a-38207427e792,1702684800000,
28833f7c-c7f6-481c-ba16-d1e327038ce0.binning_data.json,2024-06-02 17:50:15.540,2024-06-02 17:50:15.540,com.sec.android.app.shealth,0,10328,1.5135077,7762.0,329.49997,XLy3VBYEN4,com.sec.android.app.shealth,28833f7c-c7f6-481c-ba16-d1e327038ce0,1702771200000,
