com.samsung.shealth.tracker.pedometer_step_count,6307003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
20804,4,0,37,2025-12-05 00:06:00.000,,,2025-12-05 00:07:02.328,2025-12-05 00:07:02.328,37,1.3333334,27.74,1.13,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 00:07:00.000,45533dd2-7011-490f-bd9f-7dbd5b3b1ec9,
7953,4,0,12,2025-12-05 00:07:00.000,,,2025-12-05 00:07:52.114,2025-12-05 00:07:02.401,12,1.0096619,8.030001,0.4,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 00:08:00.000,10345086-80f4-4068-9cfd-e71a6a745231,
10793,4,0,18,2025-12-05 01:27:00.000,,,2025-12-05 01:28:21.856,2025-12-05 01:27:22.705,18,1.1757466,12.690001,0.5799999,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 01:28:00.000,76530228-7f93-43c3-969a-45294b421c34,
14740,4,0,25,2025-12-05 02:47:00.000,,,2025-12-05 02:47:57.175,2025-12-05 02:47:53.304,25,1.2740618,18.779999,0.7,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 02:48:00.000,e505b14c-7d8d-46fa-9f05-f99ec150589e,
8924,4,0,14,2025-12-05 12:45:00.000,,,2025-12-05 12:52:32.324,2025-12-05 12:52:32.324,14,1.0555556,9.42,0.45,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 12:46:00.000,849ee5de-b8f7-45b3-ac30-3bceb1f0cc91,
24251,4,0,39,2025-12-05 12:46:00.000,,,2025-12-05 12:52:32.681,2025-12-05 12:52:32.681,39,1.1388888,27.62,1.26,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 12:47:00.000,be006044-3dbb-499a-9598-f5f6c5ce4611,
5743,4,0,10,2025-12-05 12:47:00.000,,,2025-12-05 12:53:05.511,2025-12-05 12:53:05.511,10,1.2222222,7.02,0.35,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 12:48:00.000,e2ea84c0-d1f6-4335-adac-e769810a04f3,
11913,4,0,20,2025-12-05 12:48:00.000,,,2025-12-05 12:53:05.555,2025-12-05 12:53:05.555,20,1.1944444,14.23,0.63,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 12:49:00.000,bebd225f-418b-46ed-a94e-2916691e8eb0,
6104,4,0,11,2025-12-05 12:59:00.000,,,2025-12-05 13:02:32.640,2025-12-05 13:02:32.640,11,1.3055556,7.97,0.39,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:00:00.000,fb8361d9-0fc8-4236-becd-1c3108acf721,
15771,4,0,24,2025-12-05 13:01:00.000,,,2025-12-05 13:02:33.591,2025-12-05 13:02:33.591,24,1.0277778,16.21,0.73,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:02:00.000,43c62c56-0256-47f6-bff4-2d09e40dbed0,
27491,4,0,54,2025-12-05 13:02:00.000,,,2025-12-05 13:04:38.176,2025-12-05 13:02:33.784,54,1.5415423,42.379997,1.65,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:03:00.000,77b76b49-22dd-4281-890f-9446fc764114,
6741,4,0,11,2025-12-05 13:03:00.000,,,2025-12-05 13:04:38.653,2025-12-05 13:04:38.653,11,1.111111,7.49,0.34,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:04:00.000,f38188d9-3e4e-4ab7-b0a5-05000eaf0527,
13162,4,0,24,2025-12-05 13:06:00.000,,,2025-12-05 13:07:17.539,2025-12-05 13:07:17.539,24,1.3333334,17.55,0.8,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:07:00.000,4bb71ea8-49d8-4eca-97e1-90b857f5d347,
7068,4,0,15,2025-12-05 13:08:00.000,,,2025-12-05 13:08:40.089,2025-12-05 13:08:38.940,15,1.621324,11.459999,0.45,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:09:00.000,30422c52-680d-48be-a560-767ba2eed151,
25076,4,0,46,2025-12-05 13:12:00.000,,,2025-12-05 13:15:00.269,2025-12-05 13:12:23.788,46,1.3598152,34.1,1.4199998,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:13:00.000,6b418e7a-5a19-4f11-acc6-c74f3cf9cf3d,
15609,4,0,30,2025-12-05 13:13:00.000,,,2025-12-05 13:15:00.403,2025-12-05 13:15:00.403,30,1.4722222,22.98,0.88,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:14:00.000,310f3a61-dbee-40fd-a2c0-192a124dc595,
22788,4,0,44,2025-12-05 13:14:00.000,,,2025-12-05 13:15:00.466,2025-12-05 13:15:00.466,44,1.4722222,33.55,1.38,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:15:00.000,27fb686d-f6b9-4967-b340-e4b0d6d004bb,
22579,4,0,44,2025-12-05 13:15:00.000,,,2025-12-05 13:17:22.260,2025-12-05 13:17:22.260,44,1.5,33.87,1.38,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:16:00.000,3730d3a3-9b50-4192-b7fc-8f0da098ffca,
