com.samsung.shealth.calories_burned.details,6307003,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,3db81fc7-f6f0-4443-b6de-78c86170d2e8.extra_data.json,,,,0.0,0,1454.6661,,2023-10-18 23:53:22.295,2023-10-10 17:45:22.289,0.0,zygK3IiKBU,com.sec.android.app.shealth,3db81fc7-f6f0-4443-b6de-78c86170d2e8,1695340800000,
,,5cbd7d90-09be-4ae3-9341-0c7a2a6dc75f.extra_data.json,,,,0.0,0,1454.6661,,2023-10-18 23:53:22.596,2023-10-10 17:45:22.336,0.0,zygK3IiKBU,com.sec.android.app.shealth,5cbd7d90-09be-4ae3-9341-0c7a2a6dc75f,1695686400000,
,,ae9cf567-bd35-4fbe-b3a7-2f77175e8505.extra_data.json,,,,0.0,0,1454.6661,,2023-10-18 23:53:22.372,2023-10-10 17:45:22.308,0.0,zygK3IiKBU,com.sec.android.app.shealth,ae9cf567-bd35-4fbe-b3a7-2f77175e8505,1695427200000,
,,8f7ec187-83ea-412b-927b-b2f3ea31e061.extra_data.json,,,,0.0,0,1454.6661,,2023-10-18 23:53:22.756,2023-10-10 17:45:22.373,0.0,zygK3IiKBU,com.sec.android.app.shealth,8f7ec187-83ea-412b-927b-b2f3ea31e061,1695772800000,
,,cc94553c-3209-4d72-8d27-75a7eb3aa7cd.extra_data.json,,,,0.0,0,1454.6661,,2023-10-18 23:53:22.498,2023-10-10 17:45:22.322,0.0,zygK3IiKBU,com.sec.android.app.shealth,cc94553c-3209-4d72-8d27-75a7eb3aa7cd,1695600000000,
,,2a17eac8-4c8a-46c4-91c3-f84609aba87e.extra_data.json,,,,0.0,0,1454.6661,,2023-10-18 23:53:22.843,2023-10-10 17:45:22.378,0.0,zygK3IiKBU,com.sec.android.app.shealth,2a17eac8-4c8a-46c4-91c3-f84609aba87e,1695859200000,
,,8070bd67-6842-48fa-8bc7-42a612d3d815.extra_data.json,,,,0.0,0,1454.6661,,2023-10-18 23:53:22.227,2023-10-10 17:45:22.248,0.0,zygK3IiKBU,com.sec.android.app.shealth,8070bd67-6842-48fa-8bc7-42a612d3d815,1695254400000,
,,87c8d783-f3de-4ef1-a9ca-7513d6f9630e.extra_data.json,,,,0.0,0,1436.1719,,2023-10-26 14:02:14.908,2023-10-10 17:45:22.533,0.0,zygK3IiKBU,com.sec.android.app.shealth,87c8d783-f3de-4ef1-a9ca-7513d6f9630e,1696464000000,
,,3df1d781-c88b-4467-8fd5-58520f3e8f74.extra_data.json,,,,0.0,0,1436.1719,,2023-10-26 14:02:15.143,2023-10-10 17:45:22.631,0.0,zygK3IiKBU,com.sec.android.app.shealth,3df1d781-c88b-4467-8fd5-58520f3e8f74,1696809600000,
,,9d3012f5-7327-468f-a955-e2b1750b7876.extra_data.json,,,,0.0,0,1436.1719,,2023-10-26 14:02:14.471,2023-10-10 17:45:22.392,0.0,zygK3IiKBU,com.sec.android.app.shealth,9d3012f5-7327-468f-a955-e2b1750b7876,1695945600000,
