com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2025-08-28 00:00:00.000,,,1,,2025-08-28 11:11:18.848,2025-08-28 11:11:18.848,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-28 00:00:00.000,24333547-0e1b-4791-940f-05f6e467e9f7,
,2025-08-31 00:00:00.000,,,1,,2025-08-31 14:45:44.446,2025-08-31 14:45:44.446,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-31 00:00:00.000,db6fef47-be5e-481f-9edd-fe0a42b194a0,
,2025-09-06 00:00:00.000,,,1,,2025-09-06 12:14:28.175,2025-09-06 12:14:28.175,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-09-06 00:00:00.000,02735096-745e-4cbd-8de8-f0ca0f8cd7c6,
1,2025-09-07 03:00:00.000,,,1,,2025-09-07 14:05:23.688,2025-09-07 14:05:23.688,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-09-08 02:59:59.999,29c1a8ce-aaee-44f3-9e02-d5e463ad9622,
,2025-09-07 00:00:00.000,,,1,,2025-09-07 14:05:27.676,2025-09-07 14:05:27.676,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-09-07 00:00:00.000,e540a013-da86-4583-8396-d55d64ab96b8,
,2025-09-08 00:00:00.000,,,1,,2025-09-08 11:31:30.478,2025-09-08 11:31:30.478,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-09-08 00:00:00.000,57f15892-400d-4a13-a1cf-4de1c7e8e9c4,
,2025-09-09 00:00:00.000,,,1,,2025-09-09 13:35:00.698,2025-09-09 13:35:00.698,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-09-09 00:00:00.000,241ccf79-c93c-47b7-b123-bd5595515404,
,2025-09-10 00:00:00.000,,,1,,2025-09-10 12:34:28.162,2025-09-10 12:34:28.162,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-09-10 00:00:00.000,af366091-ffee-4bb6-86d3-404b2ff9b564,
,2025-09-13 00:00:00.000,,,1,,2025-09-13 10:51:58.336,2025-09-13 10:51:58.336,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-09-13 00:00:00.000,84c277fb-6aca-4000-b5ad-c83fd9bc4163,
1,2025-09-20 03:00:00.000,,,1,,2025-09-20 10:42:52.879,2025-09-20 10:42:52.879,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-09-21 02:59:59.999,99a0281f-b3f4-44c8-a469-361e95788825,
1,2025-09-21 03:00:00.000,,,1,,2025-09-21 11:58:56.851,2025-09-21 11:58:56.851,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-09-22 02:59:59.999,2cc2343c-1546-4a31-86cf-0221ceeae9a5,
1,2025-09-27 03:00:00.000,,,1,,2025-09-27 10:35:16.699,2025-09-27 10:35:16.699,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-09-28 02:59:59.999,d4c3a85c-8eb8-42c9-bd06-d97f868e102c,
1,2025-09-29 03:00:00.000,,,1,,2025-09-29 10:09:47.121,2025-09-29 10:09:47.121,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-09-30 02:59:59.999,c5914da5-3a2a-4f37-a4ff-56d8557f2006,
0,1970-01-01 00:00:00.000,,,0,,2025-09-30 12:19:32.313,2024-08-11 15:52:59.169,,sleep_3_days_streak,,,UTC-0300,"1759287599999,2",XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-10-01 02:59:59.999,b379ee35-499c-4dee-b39a-400e61f0ffd3,
,2025-10-01 00:00:00.000,,,1,,2025-10-01 12:08:34.843,2025-10-01 12:08:34.843,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-10-01 00:00:00.000,9c060065-8e4c-4963-a462-860ab206f516,
1,2025-10-13 03:00:00.000,,,1,,2025-10-13 10:29:21.350,2025-10-13 10:29:21.350,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-10-14 02:59:59.999,47747364-4879-4911-b2f5-84938ac2afe3,
1,2025-10-14 03:00:00.000,,,1,,2025-10-14 12:21:53.064,2025-10-14 12:21:53.064,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-10-15 02:59:59.999,41bf3c49-a8ef-4527-a50c-3a4a56b240c8,
,2025-10-14 00:00:00.000,,,1,,2025-10-14 12:21:56.701,2025-10-14 12:21:56.701,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-10-14 00:00:00.000,2340a390-20b1-4fc8-8dbc-e64f05c1f7a9,
1,2025-10-15 03:00:00.000,,,1,,2025-10-15 12:40:57.854,2025-10-15 12:40:57.854,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-10-16 02:59:59.999,88a99951-123c-4098-8604-b72bbb9fbc05,
,2025-10-15 00:00:00.000,,,1,,2025-10-15 12:41:01.725,2025-10-15 12:41:01.725,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-10-15 00:00:00.000,c1523c5d-f147-451f-a651-703c64c5c22e,
1507,2025-10-17 22:25:25.662,1002,,2,,2025-10-17 22:25:31.768,2025-10-17 22:25:31.768,,running_100K_accumulated,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,8f2d3372-1d2b-4423-80b2-dbd2f0153c89,tracker.exercise,2025-10-17 22:25:31.662,574a6d49-7591-4b9d-8aec-b7b8f6a6a142,
