com.samsung.shealth.tracker.pedometer_day_summary,6307003,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,8601,a700cbcf-218a-4430-b5de-4252ff761b33.binning_data.json,4740010,6000,,70,2023-10-20 03:00:09.096,com.sec.android.app.shealth,2023-10-20 03:00:09.096,,1.3557986,6426.5,308.73993,8531,60rRju/E5J,com.sec.android.app.shealth,0,a700cbcf-218a-4430-b5de-4252ff761b33.achievement.json,a700cbcf-218a-4430-b5de-4252ff761b33,1697673600000,
,7964,ac703b2e-7c1f-432b-8e73-5d5a547d880f.binning_data.json,4303625,6000,,17,2023-10-20 03:00:04.891,com.sec.android.app.shealth,2023-10-19 03:04:46.462,,1.4373951,6186.01,249.18999,7947,zygK3IiKBU,com.sec.android.app.shealth,0,ac703b2e-7c1f-432b-8e73-5d5a547d880f.achievement.json,ac703b2e-7c1f-432b-8e73-5d5a547d880f,1697673600000,
,4565,2263a176-9992-4159-b2cc-cd12388d7e16.binning_data.json,2354890,6000,,87,2023-10-21 03:26:40.736,com.sec.android.app.shealth,2023-10-21 03:26:40.736,,1.5403942,3627.46,145.90999,4478,zygK3IiKBU,com.sec.android.app.shealth,0,2263a176-9992-4159-b2cc-cd12388d7e16.achievement.json,2263a176-9992-4159-b2cc-cd12388d7e16,1697760000000,
,6236,1b860c02-3039-4356-817d-559d40cd478a.binning_data.json,3303577,6000,,95,2023-10-21 11:38:57.171,com.sec.android.app.shealth,2023-10-20 08:50:10.749,1b860c02-3039-4356-817d-559d40cd478a.source_info.json,1.4578621,4816.16,208.84001,6141,VfS0qUERdZ,com.sec.android.app.shealth,0,1b860c02-3039-4356-817d-559d40cd478a.achievement.json,1b860c02-3039-4356-817d-559d40cd478a,1697760000000,
,5475,2c26a785-b04a-4fc0-9ea1-8b3ae0610764.binning_data.json,2989721,6000,,36,2023-10-22 03:38:25.993,com.sec.android.app.shealth,2023-10-21 03:26:42.278,,1.3756096,4112.6904,195.33003,5439,60rRju/E5J,com.sec.android.app.shealth,0,2c26a785-b04a-4fc0-9ea1-8b3ae0610764.achievement.json,2c26a785-b04a-4fc0-9ea1-8b3ae0610764,1697760000000,
,11314,9102b737-fd11-4865-906a-42b62f7d182c.binning_data.json,5779805,6000,,193,2023-10-22 03:38:24.514,com.sec.android.app.shealth,2023-10-21 03:26:43.045,,1.5661598,9052.1,369.53998,11121,zygK3IiKBU,com.sec.android.app.shealth,0,9102b737-fd11-4865-906a-42b62f7d182c.achievement.json,9102b737-fd11-4865-906a-42b62f7d182c,1697846400000,
,13312,61fcc7a6-e050-4dc4-afbe-8c0bc3746daa.binning_data.json,6929688,6000,,190,2023-10-22 18:54:56.096,com.sec.android.app.shealth,2023-10-21 03:26:42.055,61fcc7a6-e050-4dc4-afbe-8c0bc3746daa.source_info.json,1.4983544,10383.13,449.75995,13122,VfS0qUERdZ,com.sec.android.app.shealth,0,61fcc7a6-e050-4dc4-afbe-8c0bc3746daa.achievement.json,61fcc7a6-e050-4dc4-afbe-8c0bc3746daa,1697846400000,
,11871,387c46fc-d23c-47f7-8809-781621059e12.binning_data.json,6337679,6000,,107,2023-10-23 03:00:05.075,com.sec.android.app.shealth,2023-10-22 03:38:26.018,,1.4214013,9008.386,419.73004,11764,60rRju/E5J,com.sec.android.app.shealth,0,387c46fc-d23c-47f7-8809-781621059e12.achievement.json,387c46fc-d23c-47f7-8809-781621059e12,1697846400000,
,11740,aa439562-6f45-41f7-8e2d-f11ec5cdab55.binning_data.json,5920552,6000,,282,2023-10-23 02:47:39.756,com.sec.android.app.shealth,2023-10-22 14:14:13.693,aa439562-6f45-41f7-8e2d-f11ec5cdab55.source_info.json,1.5759101,9330.259,396.76004,11458,VfS0qUERdZ,com.sec.android.app.shealth,0,aa439562-6f45-41f7-8e2d-f11ec5cdab55.achievement.json,aa439562-6f45-41f7-8e2d-f11ec5cdab55,1697932800000,
,10931,dbbf56ae-58c4-40b7-98bd-179dd9a0fe89.binning_data.json,5461265,6000,,244,2023-10-23 03:00:03.019,com.sec.android.app.shealth,2023-10-23 03:00:03.019,,1.6018027,8747.87,351.50998,10687,zygK3IiKBU,com.sec.android.app.shealth,0,dbbf56ae-58c4-40b7-98bd-179dd9a0fe89.achievement.json,dbbf56ae-58c4-40b7-98bd-179dd9a0fe89,1697932800000,
,7920,ca0bb264-2759-40ec-b200-f9c493324e13.binning_data.json,4190118,6000,,82,2023-10-24 00:35:42.940,com.sec.android.app.shealth,2023-10-23 03:55:04.391,ca0bb264-2759-40ec-b200-f9c493324e13.source_info.json,1.4595387,6115.6396,265.91003,7838,VfS0qUERdZ,com.sec.android.app.shealth,0,ca0bb264-2759-40ec-b200-f9c493324e13.achievement.json,ca0bb264-2759-40ec-b200-f9c493324e13,1698019200000,
,8057,a672ba17-e788-417f-a225-c80211b7cfd9.binning_data.json,4233216,6000,,237,2023-10-24 03:53:06.935,com.sec.android.app.shealth,2023-10-23 03:00:05.162,,1.4600507,6180.71,293.71008,7820,60rRju/E5J,com.sec.android.app.shealth,0,a672ba17-e788-417f-a225-c80211b7cfd9.achievement.json,a672ba17-e788-417f-a225-c80211b7cfd9,1697932800000,
,6427,1f3dad5e-c751-4b83-8125-dc00b2920140.binning_data.json,3349387,6000,,64,2023-10-24 03:53:05.695,com.sec.android.app.shealth,2023-10-24 03:53:05.695,,1.5087297,5053.32,200.35999,6363,zygK3IiKBU,com.sec.android.app.shealth,0,1f3dad5e-c751-4b83-8125-dc00b2920140.achievement.json,1f3dad5e-c751-4b83-8125-dc00b2920140,1698019200000,
,6713,b1c2bb22-f51a-4884-8be9-6ec6df7e05c3.binning_data.json,3657565,6000,,39,2023-10-24 03:53:06.953,com.sec.android.app.shealth,2023-10-24 03:53:06.953,,1.3808117,5050.4097,243.48003,6674,60rRju/E5J,com.sec.android.app.shealth,0,b1c2bb22-f51a-4884-8be9-6ec6df7e05c3.achievement.json,b1c2bb22-f51a-4884-8be9-6ec6df7e05c3,1698019200000,
,3495,ae3cd216-36dd-4a84-8548-40c806bfe690.binning_data.json,1791222,6000,,10,2023-10-25 03:00:05.866,com.sec.android.app.shealth,2023-10-25 03:00:05.866,,1.4365101,2573.11,108.369995,3485,zygK3IiKBU,com.sec.android.app.shealth,0,ae3cd216-36dd-4a84-8548-40c806bfe690.achievement.json,ae3cd216-36dd-4a84-8548-40c806bfe690,1698105600000,
,4797,13568031-ed0a-4dc1-a3be-2f293dff25dc.binning_data.json,2495619,6000,,52,2023-10-25 12:01:38.753,com.sec.android.app.shealth,2023-10-24 11:56:11.044,13568031-ed0a-4dc1-a3be-2f293dff25dc.source_info.json,1.4303061,3569.4998,153.96997,4745,VfS0qUERdZ,com.sec.android.app.shealth,0,13568031-ed0a-4dc1-a3be-2f293dff25dc.achievement.json,13568031-ed0a-4dc1-a3be-2f293dff25dc,1698105600000,
,2326,b0e95980-e290-4725-9725-079d2375abf6.binning_data.json,1056493,6000,,43,2023-10-26 02:43:56.522,com.sec.android.app.shealth,2023-10-25 03:32:20.078,b0e95980-e290-4725-9725-079d2375abf6.source_info.json,1.6500719,1743.2905,72.22996,2283,VfS0qUERdZ,com.sec.android.app.shealth,0,b0e95980-e290-4725-9725-079d2375abf6.achievement.json,b0e95980-e290-4725-9725-079d2375abf6,1698192000000,
,869,d29ac4de-9363-4a56-8b99-3387069259a0.binning_data.json,463659,6000,,0,2023-10-26 03:26:24.566,com.sec.android.app.shealth,2023-10-26 03:26:24.566,,1.3886917,643.88,26.359995,869,zygK3IiKBU,com.sec.android.app.shealth,0,d29ac4de-9363-4a56-8b99-3387069259a0.achievement.json,d29ac4de-9363-4a56-8b99-3387069259a0,1698192000000,
,4415,24b735f2-3003-4cf9-ad18-b84c032f5a53.binning_data.json,2345236,6000,,88,2023-10-26 03:26:26.015,com.sec.android.app.shealth,2023-10-25 03:00:06.968,,1.4248289,3341.5603,146.25996,4327,60rRju/E5J,com.sec.android.app.shealth,0,24b735f2-3003-4cf9-ad18-b84c032f5a53.achievement.json,24b735f2-3003-4cf9-ad18-b84c032f5a53,1698105600000,
,1571,9fdffe47-64da-4092-8592-01d74c83100a.binning_data.json,659503,6000,,43,2023-10-26 03:26:26.006,com.sec.android.app.shealth,2023-10-26 03:26:26.006,,1.8116822,1194.8105,50.239964,1528,60rRju/E5J,com.sec.android.app.shealth,0,9fdffe47-64da-4092-8592-01d74c83100a.achievement.json,9fdffe47-64da-4092-8592-01d74c83100a,1698192000000,
