com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2023-11-09 21:36:43.584,,2023-11-09 22:29:51.682,2023-11-09 22:29:51.682,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-09 22:25:38.000,886ea8b0-d6b7-4958-9627-30bfc6b10d31,
2023-11-10 15:55:28.204,,2023-11-10 22:10:24.151,2023-11-10 22:10:20.040,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-10 22:10:19.775,dc6262e4-55d8-4e2c-9c75-162db6807032,
2023-11-10 22:10:23.959,,2023-11-10 22:51:18.853,2023-11-10 22:51:18.853,,,2.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-10 22:51:18.634,bee6da1f-a891-46c1-ada0-f50f30cfe767,
2023-11-11 12:35:02.620,,2023-11-11 13:02:16.579,2023-11-11 13:02:16.579,,,3.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-11 13:02:16.547,c1b5aabe-b73a-468f-b7fd-8941f033ff8f,
2023-11-11 14:10:33.400,,2023-11-11 14:13:12.411,2023-11-11 14:13:12.411,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-11 14:13:02.000,6b80435b-b19a-4f4f-820f-0ce929230e86,
2023-11-11 15:25:04.000,,2023-11-11 15:29:11.060,2023-11-11 15:29:09.274,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-11 15:28:40.000,e42c5449-5950-48d1-9bb5-a76d6010f60f,
2023-11-11 15:22:05.000,,2023-11-11 15:29:09.211,2023-11-11 15:29:09.160,,,2.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-11 15:25:04.000,7270c1ec-7075-4b41-8e72-eacfabb16d36,
2023-11-11 14:55:01.693,,2023-11-11 15:29:09.121,2023-11-11 15:29:09.121,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-11 15:22:05.000,4beb37e9-88ab-4236-8b9f-340009e74466,
2023-11-12 23:15:02.883,,2023-11-12 23:18:55.310,2023-11-12 23:18:55.310,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-12 23:18:55.229,06a4316a-d963-4e50-a14a-3739f528ebfa,
2023-11-13 21:55:02.269,,2023-11-13 22:07:01.550,2023-11-13 22:07:01.550,,,2.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-13 22:07:01.462,a830effb-1674-441e-8813-2ea6bfd1fa69,
