com.samsung.shealth.tracker.floors_day_summary,6307003,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
63060070,,63060070,2025-12-12 13:16:13.887,2025-12-12 13:16:13.887,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,a3878f20-26e6-40da-acfd-ace27e579e10,1711324800000,
63060070,,63060070,2025-12-12 13:16:13.895,2025-12-12 13:16:13.895,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,cd2f4e5c-ba9f-409a-bbb4-f62fcf149f5e,1706140800000,
63060070,,63060070,2025-12-12 13:16:13.902,2025-12-12 13:16:13.902,5,1,bvFPH0+ZC9,com.sec.android.app.shealth,48995924-19c8-4ed4-9af4-94526943a6b9,1698624000000,
63060070,,63060070,2025-12-12 13:16:13.910,2025-12-12 13:16:13.910,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,e796c078-c7d3-470c-99c8-3b262e2f617c,1731542400000,
63060070,,63060070,2025-12-12 13:16:13.918,2025-12-12 13:16:13.918,8,1,bvFPH0+ZC9,com.sec.android.app.shealth,d5981a03-b546-42e6-a5f7-08078aef1473,1719446400000,
63060070,,63060070,2025-12-12 13:16:13.925,2025-12-12 13:16:13.925,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,e67a96e1-2eb9-493b-ab04-8629a7a4fe5a,1715990400000,
63060070,,63060070,2025-12-12 13:16:13.934,2025-12-12 13:16:13.934,11,1,bvFPH0+ZC9,com.sec.android.app.shealth,39b2b9ed-96f8-4c19-8886-4d8fe749850b,1725148800000,
63060070,,63060070,2025-12-12 13:16:13.941,2025-12-12 13:16:13.941,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,223e81d8-edd0-4113-9498-d546dfaa9b24,1699833600000,
63060070,,63060070,2025-12-12 13:16:13.946,2025-12-12 13:16:13.946,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,a50835e3-6f75-4a42-a0fa-7a24d6d5e1a8,1726876800000,
63060070,,63060070,2025-12-12 13:16:13.953,2025-12-12 13:16:13.953,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,ab0fcbcb-c7e7-4d15-9e4d-78dea687541d,1721692800000,
63060070,,63060070,2025-12-12 13:16:13.960,2025-12-12 13:16:13.960,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,771249fa-794c-4bf3-911b-1fb426a567e4,1723420800000,
63060070,,63060070,2025-12-12 13:16:13.966,2025-12-12 13:16:13.966,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,8b5ee5f3-1de2-4dc9-873c-224b57693062,1703289600000,
63060070,,63060070,2025-12-12 13:16:13.973,2025-12-12 13:16:13.973,6,1,bvFPH0+ZC9,com.sec.android.app.shealth,977adab8-8d20-47e2-8f19-b7e146278f88,1719964800000,
63060070,,63060070,2025-12-12 13:16:13.983,2025-12-12 13:16:13.983,14,1,bvFPH0+ZC9,com.sec.android.app.shealth,cc096481-7ea4-4f20-a158-71350e537c13,1730937600000,
63060070,,63060070,2025-12-12 13:16:13.992,2025-12-12 13:16:13.992,8,1,bvFPH0+ZC9,com.sec.android.app.shealth,8e201a03-ed3e-4a1e-b233-ce10de6bcd8b,1706745600000,
63060070,,63060070,2025-12-12 13:16:14.001,2025-12-12 13:16:14.001,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,b426e562-c64d-46d0-96d8-bd3d5514c800,1705017600000,
63060070,,63060070,2025-12-12 13:16:14.008,2025-12-12 13:16:14.008,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,be4a4ee1-476a-4292-b963-285281a9ca30,1715385600000,
63060070,,63060070,2025-12-12 13:16:14.014,2025-12-12 13:16:14.014,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,7428a4f7-27aa-4b97-9c24-394408f377f1,1717113600000,
63060070,,63060070,2025-12-12 13:16:14.021,2025-12-12 13:16:14.021,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,fc3ba7c5-f941-44cb-8a0b-c1d25ac72bb6,1722297600000,
63060070,,63060070,2025-12-12 13:16:14.030,2025-12-12 13:16:14.030,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,0db24468-12d2-4a42-b507-851b2b73a14d,1729209600000,
63060070,,63060070,2025-12-12 13:16:14.039,2025-12-12 13:16:14.039,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,9ba6c222-ea09-425f-97f1-e434949c34f6,1724025600000,
63060070,,63060070,2025-12-12 13:16:14.046,2025-12-12 13:16:14.046,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,96d8dfc5-e193-43ee-8abd-22cf8fd12900,1725753600000,
63060070,,63060070,2025-12-12 13:16:14.051,2025-12-12 13:16:14.051,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,87c106ef-810f-4505-ab2d-a0551c5a33e0,1696982400000,
63060070,,63060070,2025-12-12 13:16:14.058,2025-12-12 13:16:14.058,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,209449d2-8dce-400a-9d8d-605b22f3574a,1725840000000,
63060070,,63060070,2025-12-12 13:16:14.068,2025-12-12 13:16:14.068,6,1,bvFPH0+ZC9,com.sec.android.app.shealth,0bd3de77-3068-4920-93de-373f049e72bc,1705622400000,
63060070,,63060070,2025-12-12 13:16:14.076,2025-12-12 13:16:14.076,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,98e5bbff-730d-40da-ae77-50ff38ca6056,1698710400000,
63060070,,63060070,2025-12-12 13:16:14.090,2025-12-12 13:16:14.090,10,1,bvFPH0+ZC9,com.sec.android.app.shealth,c28fd560-7cbd-485c-b505-407defc55f9b,1729900800000,
63060070,,63060070,2025-12-12 13:16:14.100,2025-12-12 13:16:14.100,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,5356ee8f-73c8-47ea-acae-17d16c79009c,1707350400000,
63060070,,63060070,2025-12-12 13:16:14.108,2025-12-12 13:16:14.108,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,05949309-0291-4350-9905-ea76cb4d3005,1714262400000,
63060070,,63060070,2025-12-12 13:16:14.115,2025-12-12 13:16:14.115,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,36394ccb-acbf-428b-bb62-05171c00f3dd,1703376000000,
63060070,,63060070,2025-12-12 13:16:14.127,2025-12-12 13:16:14.127,5,1,bvFPH0+ZC9,com.sec.android.app.shealth,8c54db42-3bb4-4070-b657-f0e0fe5c0f0e,1705104000000,
63060070,,63060070,2025-12-12 13:16:14.139,2025-12-12 13:16:14.139,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,a2e9529c-ce6a-4900-a08c-10116062de4f,1715472000000,
63060070,,63060070,2025-12-12 13:16:14.157,2025-12-12 13:16:14.157,5,1,bvFPH0+ZC9,com.sec.android.app.shealth,b42d35f2-e810-4e73-8389-af9809c37553,1730419200000,
63060070,,63060070,2025-12-12 13:16:14.175,2025-12-12 13:16:14.175,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,def61597-a7e0-4d95-b4c5-c0f80c20b8b7,1725235200000,
63060070,,63060070,2025-12-12 13:16:14.195,2025-12-12 13:16:14.195,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,bf252d1c-eaf3-49a8-89ae-e378cae8e827,1704499200000,
63060070,,63060070,2025-12-12 13:16:14.216,2025-12-12 13:16:14.216,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,08897930-3b84-411b-83ea-e4ca5a103958,1706227200000,
63060070,,63060070,2025-12-12 13:16:14.232,2025-12-12 13:16:14.232,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,577ce9e5-7cd0-46f6-ba13-a2641a00c77e,1707955200000,
63060070,,63060070,2025-12-12 13:16:14.249,2025-12-12 13:16:14.249,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,afdbf7a2-50e3-4cf9-b85f-21480d229768,1702771200000,
63060070,,63060070,2025-12-12 13:16:14.270,2025-12-12 13:16:14.270,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,074c2246-264c-4e6a-9d78-6b68b79ae076,1699315200000,
63060070,,63060070,2025-12-12 13:16:14.290,2025-12-12 13:16:14.290,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,96622b69-5104-41ac-a33a-59d1875d227c,1720137600000,
63060070,,63060070,2025-12-12 13:16:14.306,2025-12-12 13:16:14.306,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,d2dee060-c185-41b1-a4b3-b2a63a7ec39c,1718409600000,
63060070,,63060070,2025-12-12 13:16:14.322,2025-12-12 13:16:14.322,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,9c52edb3-dea1-4287-86e9-db88c19b21c1,1698796800000,
